year,species,counts
2021,Aria evansii,0.0
2021,Aria saxicola,1.0
2021,Aria vexans,1.0
2021,Aria whiteana,1.0
2021,Betula pubescens,86.0
2021,Calathus melanocephalus,5.0
2021,Calathus mollis,0.0
2021,Castanea dentata,2.0
2021,Cotoneaster cambricus,0.0
2021,Ditrichum cornubicum,0.0
2021,Fraxinus americana,0.0
2021,Fraxinus pennsylvanica,0.0
2021,Geranium maderense,1.0
2021,Hadena bicruris,28.0
2021,Hedlundia pseudofennica,0.0
2021,Lathyrus odoratus,1.0
2021,Lepidochelys kempii,0.0
2021,Melhania ebena,0.0
2021,Mustela lutreola,0.0
2021,Polyscias racemosa,0.0
2021,Puffinus mauretanicus,213.0
2021,Vanellus gregarius,4.0
2021,Wollemia nobilis,0.0
