hex,year,occ_den,sp_richness,sp_evenness
85194a43fffffff,2011,2219,229,0.6775492739714237
85194acffffffff,2011,1390,146,0.8122189855832321
85194e53fffffff,2011,2202,355,0.8379530766715845
85194163fffffff,2011,893,338,0.9005690772001558
85194133fffffff,2011,9556,1109,0.8486049724303576
85195b93fffffff,2011,1270,162,0.7288083008000893
85194107fffffff,2011,5710,1435,0.8712908408562218
8519485bfffffff,2011,944,263,0.8666002591713137
85195d47fffffff,2011,4768,647,0.8895629917560102
8519429bfffffff,2011,1449,467,0.8560456533683185
85194e63fffffff,2011,909,136,0.7795750078895913
85195933fffffff,2011,2102,232,0.7467876581624784
8519464ffffffff,2011,639,168,0.792598341153875
85195803fffffff,2011,3904,816,0.8834270990369064
85195db7fffffff,2011,5877,898,0.8954527765402552
85194ed3fffffff,2011,7137,928,0.8421285381164323
85194e73fffffff,2011,837,46,0.7741725857754689
8519430bfffffff,2011,3689,709,0.8687310526897648
85195993fffffff,2011,1665,218,0.8247277851983117
85195c23fffffff,2011,923,370,0.886495406602338
8519589bfffffff,2011,4616,771,0.7607636228010705
85195cabfffffff,2011,3059,679,0.863536820325348
85195957fffffff,2011,4465,402,0.8118405898869996
85194a4ffffffff,2011,3663,726,0.8483651999932618
85195917fffffff,2011,3172,444,0.7568222897480203
85195d27fffffff,2011,4404,783,0.810940065127472
85194e6bfffffff,2011,15746,298,0.78698846050539
8519433bfffffff,2011,2640,396,0.8507864752584824
85195b7bfffffff,2011,7037,1223,0.9016988513284908
8519518ffffffff,2011,11330,1082,0.8906196771603135
8519594ffffffff,2011,1527,82,0.7607977416903814
8519415bfffffff,2011,1403,191,0.9132642627285447
85195b03fffffff,2011,4536,955,0.9042881924631687
85195b17fffffff,2011,915,230,0.8214511792664885
85194853fffffff,2011,1122,221,0.8374210267025627
85194153fffffff,2011,1564,225,0.8158199412094368
8519466ffffffff,2011,4953,972,0.8452824086500428
85195907fffffff,2011,4189,473,0.7317491007150051
85195cd7fffffff,2011,3262,965,0.9316162715572652
85195583fffffff,2011,1420,228,0.888113787761298
85194a8bfffffff,2011,3048,825,0.8974075181075595
85194e13fffffff,2011,3522,635,0.9433492672526905
85195c1bfffffff,2011,11298,838,0.8578504601407614
8519484bfffffff,2011,2884,304,0.748211349571969
851942c3fffffff,2011,2990,683,0.9180427147240698
85195973fffffff,2011,1705,374,0.7773610602033745
8519402ffffffff,2011,847,142,0.814828672380189
85194a87fffffff,2011,1471,303,0.8981770058520226
85197327fffffff,2011,1788,497,0.9205903147543588
85187477fffffff,2011,676,129,0.7918929925710868
8519596bfffffff,2011,776,93,0.7204305150989568
851958a7fffffff,2011,2872,566,0.9019511245179653
85194e43fffffff,2011,791,215,0.8361438105558838
85195db3fffffff,2011,4157,705,0.800030008318995
85194e4bfffffff,2011,1043,331,0.8614463053096483
85195b53fffffff,2011,2390,557,0.8898471769422007
85194ebbfffffff,2011,1587,371,0.8635812426192675
85195ca3fffffff,2011,5713,1615,0.8852627270957466
85187403fffffff,2011,192,49,0.8643384720912328
85194a13fffffff,2011,2480,339,0.7833541082277029
85194303fffffff,2011,1047,217,0.8269692622456268
85195bdbfffffff,2011,901,189,0.7276812706539236
8519593bfffffff,2011,702,130,0.7877594521413184
85195ba3fffffff,2011,1328,232,0.8238396284911417
851958cbfffffff,2011,464,151,0.7896939061782442
85195d8bfffffff,2011,1500,189,0.882242516147192
851875d3fffffff,2011,2915,638,0.8951222698043692
85195b6bfffffff,2011,3080,783,0.9256182286655804
8519553bfffffff,2011,1091,363,0.8897764864838702
85194e87fffffff,2011,14519,1152,0.8814795446566862
8519460bfffffff,2011,3358,750,0.9528873995482339
851942d3fffffff,2011,3054,638,0.8950684547064618
8519586ffffffff,2011,2301,753,0.9090590490600526
85194203fffffff,2011,1538,280,0.8721759117038133
85194e77fffffff,2011,893,169,0.8278128496441779
8519430ffffffff,2011,2875,963,0.8595399747099017
85194e7bfffffff,2011,1258,326,0.8111319336931617
8519413bfffffff,2011,4789,710,0.8913803034707498
851870d3fffffff,2011,6125,787,0.8906716958088158
8519581bfffffff,2011,2101,666,0.8976434887130881
851959c3fffffff,2011,2220,540,0.9398712864099823
851955abfffffff,2011,1523,528,0.9493664816612166
85195837fffffff,2011,2040,504,0.8685612757294681
85195c6ffffffff,2011,1703,577,0.9384253020455781
8519416bfffffff,2011,5124,1040,0.8953686792129995
85195ddbfffffff,2011,629,160,0.822084312053826
85195d6ffffffff,2011,3922,330,0.8472225384897566
8519412ffffffff,2011,1077,164,0.7938557040491969
85195c03fffffff,2011,2241,612,0.9075868342831529
8519414ffffffff,2011,5912,779,0.913555689483705
85194647fffffff,2011,1413,471,0.8744356549317347
85195cd3fffffff,2011,2982,501,0.771141386735713
85195d13fffffff,2011,979,176,0.848217434641648
85195523fffffff,2011,1747,454,0.911050405845794
8519410ffffffff,2011,5346,1012,0.9105234695624593
85195d57fffffff,2011,1493,416,0.9375462690554278
851874affffffff,2011,2264,925,0.916052512003228
85194607fffffff,2011,1477,520,0.9279240019832246
85195d97fffffff,2011,8901,1139,0.90741398995263
85194e8ffffffff,2011,4656,856,0.8767361831537266
85194067fffffff,2011,527,81,0.7327738508130363
85187467fffffff,2011,977,207,0.7996473437608439
85195587fffffff,2011,1747,442,0.9104590835701831
8519738ffffffff,2011,394,133,0.9059775920024327
85195d87fffffff,2011,5226,630,0.6892017367544397
8519416ffffffff,2011,5002,809,0.8580450646434417
85195d23fffffff,2011,3211,681,0.8268113534507631
85194e0ffffffff,2011,1740,217,0.7060982621830199
851959b7fffffff,2011,760,169,0.9264552897816506
85195d8ffffffff,2011,2052,465,0.8142572442852479
85194e47fffffff,2011,3237,577,0.793514259183409
851951a3fffffff,2011,16941,671,0.7852095966608158
8519406ffffffff,2011,702,127,0.7811379616035168
85195cb7fffffff,2011,10590,1302,0.8575297390797859
85194673fffffff,2011,619,282,0.8491535356380725
851959dbfffffff,2011,1393,373,0.8479992618042868
851958affffffff,2011,1156,344,0.8718335564657713
85195c97fffffff,2011,2457,447,0.8655688299161189
85195c8bfffffff,2011,1213,367,0.9172296714611513
85195b8ffffffff,2011,512,143,0.7800096060446706
85195b63fffffff,2011,1543,599,0.9327310054530046
85194643fffffff,2011,665,37,0.8181609132375685
85195597fffffff,2011,939,198,0.8829212787780472
8519460ffffffff,2011,707,433,0.9759489355820251
85194167fffffff,2011,6712,1224,0.8259307234051276
85194a1bfffffff,2011,1878,386,0.8255905798792937
85195c2ffffffff,2011,2204,721,0.8399181294867102
85195cc3fffffff,2011,8974,911,0.835586491969566
85195bcffffffff,2011,1765,397,0.9269152324267739
85194edbfffffff,2011,6105,1330,0.8880906183505322
8519590ffffffff,2011,1650,361,0.8500179786840761
85194043fffffff,2011,606,159,0.8489778022355388
85194a7bfffffff,2011,634,149,0.9057906123254966
851973d7fffffff,2011,324,46,0.7746394610352452
8518747bfffffff,2011,1013,345,0.8533144844271504
851951b7fffffff,2011,5275,348,0.8193952407011889
8519431bfffffff,2011,510,147,0.9134569915573386
8519554bfffffff,2011,317,31,0.8101963341385869
85194103fffffff,2011,3900,787,0.8744322774677759
85194677fffffff,2011,1581,600,0.9458115530939782
85194603fffffff,2011,1721,607,0.9327048892215783
85195817fffffff,2011,2787,550,0.8727175206652807
851941abfffffff,2011,5418,954,0.8821304175196151
851959abfffffff,2011,743,227,0.8505635527765909
85194213fffffff,2011,869,212,0.9117630530537303
85194e3bfffffff,2011,348,114,0.8476492343765347
8519432ffffffff,2011,5706,616,0.8953986378106065
85195a2ffffffff,2011,2649,522,0.9292618676070965
8518740bfffffff,2011,612,236,0.9115656149077184
85194ac7fffffff,2011,1227,250,0.8139066620597389
85195b47fffffff,2011,5933,792,0.9092506991801834
85195c87fffffff,2011,9071,1663,0.886264610924842
85187493fffffff,2011,2268,689,0.9423333178220382
85195b4ffffffff,2011,2121,806,0.9432127233664258
8519588bfffffff,2011,1012,479,0.9424715703731552
85195c9bfffffff,2011,1250,470,0.9158011153333617
8519739bfffffff,2011,369,117,0.9183335006696496
85195c27fffffff,2011,570,156,0.8684742806101862
851874bbfffffff,2011,495,220,0.8592388645601837
85195537fffffff,2011,3773,865,0.9392259123134084
851876a7fffffff,2011,1213,408,0.9554917057664319
851951affffffff,2011,3253,422,0.7807766223563721
85195d93fffffff,2011,1098,236,0.8695965683117491
85195823fffffff,2011,6587,947,0.8539616647960964
85194eabfffffff,2011,225,105,0.9509124640683277
8519558bfffffff,2011,130,73,0.9184796551022606
851948cffffffff,2011,1894,327,0.8887676134461789
8519426ffffffff,2011,1306,578,0.9489799125882805
8519423bfffffff,2011,18221,1144,0.7375924955923261
85194ecffffffff,2011,1012,280,0.8719877296814263
85194aa3fffffff,2011,1344,259,0.9212586977729538
85194263fffffff,2011,1132,532,0.9497730597982061
851943d3fffffff,2011,338,166,0.8868162964498408
8519510ffffffff,2011,5856,585,0.8459731649156317
8519588ffffffff,2011,1388,384,0.9153653937043893
85195107fffffff,2011,12542,1202,0.8022557660831264
8519400ffffffff,2011,526,162,0.9286440425177265
85195183fffffff,2011,15552,1152,0.8966646319443665
85195c07fffffff,2011,2293,617,0.8913537378411216
8519428bfffffff,2011,973,370,0.9514713083509038
85194ab3fffffff,2011,2969,536,0.8691996222832437
85194057fffffff,2011,172,67,0.9150037822347507
85194003fffffff,2011,1610,245,0.8892166183156452
851958d7fffffff,2011,216,122,0.9383348985490538
85195553fffffff,2011,327,148,0.8703600491315675
85194663fffffff,2011,1215,544,0.9537888827603668
851959a3fffffff,2011,341,172,0.9563287491450039
85195103fffffff,2011,3825,763,0.8458836230649839
85194277fffffff,2011,2273,868,0.9413398005742717
85187433fffffff,2011,183,104,0.9410195935825387
8519557bfffffff,2011,250,94,0.8685231469415763
85194a93fffffff,2011,1364,533,0.9293332003137545
85194293fffffff,2011,932,420,0.926783266342637
8519414bfffffff,2011,845,154,0.928299335552227
85195543fffffff,2011,206,90,0.8281645432284264
85195b73fffffff,2011,2951,884,0.929008852754386
8519420ffffffff,2011,1199,431,0.907700726448108
85194337fffffff,2011,2256,292,0.8616385954604648
851954a7fffffff,2011,252,154,0.9243894465374157
851973cffffffff,2011,159,134,0.9897511392559768
851954affffffff,2011,16,15,0.9918373461380351
851973c3fffffff,2011,87,65,0.980094388336592
85197383fffffff,2011,351,80,0.9012963607569459
8519411bfffffff,2011,15773,1182,0.8462995735534786
8518746ffffffff,2011,4976,820,0.9115065169989206
85195113fffffff,2011,5971,1152,0.8753125821652544
85194363fffffff,2011,783,225,0.8770232022364236
8519484ffffffff,2011,3003,350,0.888172425016633
8519461bfffffff,2011,685,430,0.9819861384689865
8519401bfffffff,2011,147,76,0.947361473927764
8518743bfffffff,2011,195,131,0.9627741085501399
851870dbfffffff,2011,12344,858,0.889133659769981
85195c13fffffff,2011,1434,509,0.9341081852537518
85195cbbfffffff,2011,4360,384,0.8392516458972381
851942bbfffffff,2011,869,323,0.9314123832222243
85194373fffffff,2011,17916,849,0.7968518149449091
85195b57fffffff,2011,3010,435,0.908078105786
85195b43fffffff,2011,2975,470,0.9087579033807637
85194313fffffff,2011,200,118,0.9439171342314385
85194053fffffff,2011,1020,260,0.9043304982488349
85195b5bfffffff,2011,3125,442,0.9269869058158582
8519428ffffffff,2011,301,191,0.9694588947330248
85194207fffffff,2011,33906,999,0.6746293067281143
85194253fffffff,2011,313,186,0.9480645699327542
8519732bfffffff,2011,974,411,0.9589312053323139
8519422bfffffff,2011,958,325,0.917689141591805
851942c7fffffff,2011,1480,507,0.9346457234687198
851941affffffff,2011,7977,953,0.8711644809923423
8519467bfffffff,2011,410,261,0.9231532087760645
851875c3fffffff,2011,397,152,0.7230189839346273
85194173fffffff,2011,3573,617,0.9043348734585982
85195c8ffffffff,2011,1181,438,0.9303071592118562
85194627fffffff,2011,257,90,0.9195814588910147
85194273fffffff,2011,899,347,0.9488513297178369
85195813fffffff,2011,726,279,0.8807171868084948
8519558ffffffff,2011,739,286,0.9388807163034606
851959d7fffffff,2011,372,229,0.9536730965213898
851940cffffffff,2011,102,64,0.9598510937663737
85194247fffffff,2011,1479,270,0.8883557327845787
85194857fffffff,2011,954,361,0.9551510187957294
85194287fffffff,2011,747,235,0.8874678111816502
85187497fffffff,2011,2577,524,0.9211244311399069
851943affffffff,2011,1407,273,0.8979635319919208
851943c7fffffff,2011,285,136,0.9225179284841917
8519404bfffffff,2011,4045,739,0.8452219182971498
85194667fffffff,2011,782,357,0.9353550910296515
85194e57fffffff,2011,165,39,0.8315123141849267
851958bbfffffff,2011,1165,344,0.9082913223598523
85194347fffffff,2011,1476,396,0.8908064832644363
851943b3fffffff,2011,1304,263,0.9150056476753079
85187483fffffff,2011,4207,499,0.9176188846383111
851942b7fffffff,2011,549,211,0.8997113033635575
8519420bfffffff,2011,349,150,0.9296966211499725
851874b3fffffff,2011,1808,454,0.9267749838914853
85195d63fffffff,2011,332,119,0.8897933860788969
8519435bfffffff,2011,640,155,0.8200710449919572
85194623fffffff,2011,1487,209,0.8840475398845801
85195bc3fffffff,2011,946,362,0.9149323348223676
85195d4ffffffff,2011,711,379,0.952088934803371
851959cffffffff,2011,14865,703,0.8837864774870108
851951a7fffffff,2011,1997,574,0.8834376930579152
8519439bfffffff,2011,561,61,0.790359378980693
85195d2bfffffff,2011,2172,457,0.8186352095878056
8519552bfffffff,2011,543,204,0.9374069558300664
85195c17fffffff,2011,2105,607,0.9121535784035404
85194137fffffff,2011,8927,870,0.8957699668290211
85195d83fffffff,2011,861,306,0.8898638343501242
85195dabfffffff,2011,1546,530,0.9369216891784863
8519582ffffffff,2011,408,214,0.950168908272392
85195b87fffffff,2011,200,70,0.8928381585623876
85187413fffffff,2011,1116,182,0.8989958794366614
85195567fffffff,2011,1499,544,0.9389301439019436
851958b3fffffff,2011,1092,182,0.8788354681212023
85194a8ffffffff,2011,880,324,0.9356023152887756
8519432bfffffff,2011,2761,540,0.9012694755611403
85194227fffffff,2011,264,66,0.871218727922164
851942b3fffffff,2011,516,201,0.9049132511892334
85194297fffffff,2011,751,333,0.9257801789612377
8519422ffffffff,2011,581,177,0.9082568477457102
8519412bfffffff,2011,2068,423,0.885507901079805
8518746bfffffff,2011,7611,635,0.8947024324363353
85195503fffffff,2011,147,85,0.9372728639709538
8518709bfffffff,2011,127,117,0.9925697772948762
851958abfffffff,2011,1204,406,0.9293007241692137
8519580ffffffff,2011,4832,1103,0.9127172236562294
851870d7fffffff,2011,4221,838,0.9013014348445465
85197307fffffff,2011,607,333,0.9668053142128074
851959cbfffffff,2011,1323,421,0.9497075083447144
851958b7fffffff,2011,1848,409,0.8995357830253286
851943d7fffffff,2011,182,128,0.9522780632724653
8519466bfffffff,2011,801,358,0.952503966687629
85195b0bfffffff,2011,4235,624,0.9145170309483082
8519519bfffffff,2011,636,132,0.7881598250247657
851959d3fffffff,2011,1699,526,0.9394446277150332
85195527fffffff,2011,624,314,0.9321416902697232
85195d4bfffffff,2011,401,177,0.9284321623791869
85195593fffffff,2011,483,241,0.9480367447911567
85194257fffffff,2011,604,178,0.9186250630587799
85195bcbfffffff,2011,988,377,0.9195915966396269
85195187fffffff,2011,11747,984,0.882574040431225
85194a9bfffffff,2011,697,212,0.9049168857641274
85195dd3fffffff,2011,538,169,0.8942109136962764
8518748ffffffff,2011,478,217,0.9611989127314674
85194ea3fffffff,2011,150,52,0.9378580882323186
851942d7fffffff,2011,761,376,0.9364459240836069
8519552ffffffff,2011,2392,539,0.8844875002866036
851951abfffffff,2011,20534,1316,0.8196638748226459
851940cbfffffff,2011,220,125,0.9561768049713575
85187487fffffff,2011,1919,490,0.9432897528131713
851942cbfffffff,2011,1840,631,0.9473342396720242
851955b7fffffff,2011,496,284,0.9615736904168293
85194637fffffff,2011,313,98,0.915453924068687
8519463bfffffff,2011,1435,557,0.9541187538011477
85194307fffffff,2011,1309,256,0.848646345551401
851951b3fffffff,2011,3445,327,0.8499333060735652
85195117fffffff,2011,3599,754,0.9059776594445945
851973abfffffff,2011,5331,460,0.818299882028422
8519427bfffffff,2011,6940,419,0.817944902534022
8519434bfffffff,2011,5209,607,0.8354056503872618
85187463fffffff,2011,5834,669,0.9003507281060775
85187293fffffff,2011,5417,726,0.9261978378654434
85194143fffffff,2011,8485,494,0.8404865593718244
851973bbfffffff,2011,629,130,0.9150444526499223
8519426bfffffff,2011,4016,514,0.7354872545602066
8519406bfffffff,2011,158,76,0.9378594598506811
85194223fffffff,2011,616,241,0.926541823932939
851942a7fffffff,2011,96,39,0.9261309689502916
85197317fffffff,2011,622,389,0.9803964296506117
85197337fffffff,2011,1358,315,0.8773241792354427
85195087fffffff,2011,53,31,0.9604806210857352
8519736ffffffff,2011,737,374,0.9590216917712739
85194157fffffff,2011,4396,501,0.8809964182914884
85194e17fffffff,2011,1068,251,0.9096862338307206
851943a7fffffff,2011,2719,266,0.8836830186153637
85194243fffffff,2011,1054,183,0.8484210807320011
8519404ffffffff,2011,649,186,0.8998769131490224
851942a3fffffff,2011,1657,183,0.8596545943855018
85194c53fffffff,2011,3418,319,0.8354764927649506
85194e03fffffff,2011,206,57,0.8906966803611973
85195193fffffff,2011,1533,414,0.9020770953424075
85194e9bfffffff,2011,3623,637,0.921372708918309
85194c4bfffffff,2011,11348,1035,0.8533508224570083
85194e93fffffff,2011,2381,443,0.9174574397477654
85194e97fffffff,2011,3258,705,0.876817066350628
85194ec7fffffff,2011,2158,477,0.9462591411885367
85194123fffffff,2011,2305,465,0.9170349191929111
85194c43fffffff,2011,181,107,0.9563042000994056
85194e1bfffffff,2011,533,161,0.9317123121596114
85195ca7fffffff,2011,1278,478,0.9219312354612004
85195cb3fffffff,2011,15263,2505,0.870374035895574
851943c3fffffff,2011,224,92,0.8828986395060854
85195babfffffff,2011,173,77,0.9288587305136363
85194343fffffff,2011,3264,377,0.8506250403726345
85195517fffffff,2011,1327,334,0.9398425071344526
85195dd7fffffff,2011,650,162,0.8461648712715849
8519462bfffffff,2011,1588,607,0.9492684100899266
8519556bfffffff,2011,1166,414,0.9287822657737673
8519434ffffffff,2011,11753,1661,0.8072382733292126
851942affffffff,2011,360,124,0.9503102543672921
851943b7fffffff,2011,1483,494,0.9346804549808039
85195c3bfffffff,2011,1500,449,0.9015632636571148
851951bbfffffff,2011,1907,596,0.9205122444431413
851973affffffff,2011,276,102,0.9481064561174288
85195b6ffffffff,2011,445,298,0.9577210679209958
85194237fffffff,2011,819,275,0.9146380646566411
8519436ffffffff,2011,338,169,0.9563186415960894
8519738bfffffff,2011,367,163,0.9507894618977567
85194383fffffff,2011,1024,173,0.9026663201653274
851870cbfffffff,2011,1374,437,0.9613562939303248
851942dbfffffff,2011,408,258,0.9681680115896302
